rank,name,name_link,total_gross,total_thea,open_gross,open_thea,open_date,close_date,budget,studio,genre,runtime,MPAArating,Director_list,Director_links,Writer_list,Writer_links,Actor_list,Actor_links,Producer_list,Producer_links,Cinematographer_list,Cinematographer_links,Composer_list,Composer_links
115,Eddie the Eagle,http://www.boxofficemojo.com//movies/?id=eddietheeagle.htm,15789389,2044,6084682,2042,2/26,5/26,$23 million,Fox,Drama,1 hrs. 45 min.,PG-13,,,,,Christopher Walken | Taron Egerton | Hugh Jackman | ,/people/chart/?view=Actor&id=christopherwalken.htm | /people/chart/?view=Actor&id=taronegerton.htm | /people/chart/?view=Actor&id=hughjackman.htm | ,Matthew Vaughn | ,/people/chart/?view=Producer&id=matthewvaughn.htm | ,,,,
117,Keeping Up with the Joneses,http://www.boxofficemojo.com//movies/?id=keepingupjoneses.htm,14904426,3022,5461475,3022,10/21,12/29,$40 million,Fox,Comedy,1 hrs. 41 min.,PG-13,Greg Mottola | ,/people/chart/?view=Director&id=gregmottola.htm | ,,,Isla Fisher | Gal Gadot | Zach Galifianakis | Jon Hamm | ,/people/chart/?view=Actor&id=islafisher.htm | /people/chart/?view=Actor&id=galgadot.htm | /people/chart/?view=Actor&id=zachgalifianakis.htm | /people/chart/?view=Actor&id=jonhamm.htm | ,,,,,,
119,Room,http://www.boxofficemojo.com//movies/?id=room2015.htm,14677654,862,118298,4,1/22,4/24,N/A,A24,Drama,1 hrs. 58 min.,R,,,,,Brie Larson | Joan Allen | William H. Macy | ,/people/chart/?view=Actor&id=brielarson.htm | /people/chart/?view=Actor&id=joanallen.htm | /people/chart/?view=Actor&id=williamhmacy.htm | ,,,,,,
121,The Edge of Seventeen,http://www.boxofficemojo.com//movies/?id=besties.htm,14431633,1945,4754215,1945,11/18,1/5,$9 million,STX,Comedy,1 hrs. 39 min.,R,,,,,Woody Harrelson | Hailee Steinfeld | ,/people/chart/?view=Actor&id=woodyharrelson.htm | /people/chart/?view=Actor&id=haileesteinfeld.htm | ,James L. Brooks | Richard Sakai | ,/people/chart/?view=Producer&id=jameslbrooks.htm | /people/chart/?view=Producer&id=richardsakai.htm | ,,,,
123,Hillary's America: The Secret History of the Democratic Party,http://www.boxofficemojo.com//movies/?id=hillarysamerica.htm,13099931,1217,74814,3,7/22,10/13,N/A,QF,Documentary,1 hrs. 40 min.,PG-13,Dinesh D'Souza | ,/people/chart/?view=Director&id=dineshdsouza.htm | ,Dinesh D'Souza | ,/people/chart/?view=Writer&id=dineshdsouza.htm | ,,,,,,,,
125,Triple 9,http://www.boxofficemojo.com//movies/?id=triplenine.htm,12639297,2205,6109085,2205,2/26,4/14,N/A,ORF,Thriller,1 hrs. 55 min.,R,John Hillcoat | ,/people/chart/?view=Director&id=johnhillcoat.htm | ,,,Casey Affleck | Chiwetel Ejiofor | Gal Gadot | Woody Harrelson | Anthony Mackie | Teresa Palmer | Michael K. Williams | Kate Winslet | ,/people/chart/?view=Actor&id=caseyaffleck.htm | /people/chart/?view=Actor&id=chiwetelejiofor.htm | /people/chart/?view=Actor&id=galgadot.htm | /people/chart/?view=Actor&id=woodyharrelson.htm | /people/chart/?view=Actor&id=anthonymackie.htm | /people/chart/?view=Actor&id=teresapalmer.htm | /people/chart/?view=Actor&id=michaelkwilliams.htm | /people/chart/?view=Actor&id=katewinslet.htm | ,,,,,,
127,Fifty Shades of Black,http://www.boxofficemojo.com//movies/?id=fiftyshadesofblack.htm,11686940,2075,5900528,2075,1/29,3/25,N/A,ORF,Comedy,1 hrs. 32 min.,R,Michael Tiddes | ,/people/chart/?view=Director&id=michaeltiddes.htm | ,Rick Alvarez | Marlon Wayans | ,/people/chart/?view=Writer&id=rickalvarez.htm | /people/chart/?view=Writer&id=marlonwayans.htm | ,Marlon Wayans | ,/people/chart/?view=Actor&id=marlonwayans.htm | ,,,,,,
129,Cafe Society,http://www.boxofficemojo.com//movies/?id=cafesociety.htm,11103205,631,359289,5,8/5,10/6,N/A,LGF,Comedy / Drama,1 hrs. 36 min.,PG-13,Woody Allen | ,/people/chart/?view=Director&id=woodallen.htm | ,Woody Allen | ,/people/chart/?view=Writer&id=woodallen.htm | ,Steve Carell | Jesse Eisenberg | Blake Lively | Parker Posey | Kristen Stewart | ,/people/chart/?view=Actor&id=stevecarell.htm | /people/chart/?view=Actor&id=jesseeisenberg.htm | /people/chart/?view=Actor&id=blakelively.htm | /people/chart/?view=Actor&id=parkerposey.htm | /people/chart/?view=Actor&id=kristenstewart.htm | ,,,,,,
131,The Darkness,http://www.boxofficemojo.com//movies/?id=bhtilt2016.htm,10753574,1769,4950859,1755,5/13,6/30,N/A,BH Tilt,Horror,1 hrs. 32 min.,PG-13,,,,,Kevin Bacon | Radha Mitchell | ,/people/chart/?view=Actor&id=kevinbacon.htm | /people/chart/?view=Actor&id=radhamitchell.htm | ,Jason Blum | ,/people/chart/?view=Producer&id=jasonblum.htm | ,,,,
133,The Lady in the Van,http://www.boxofficemojo.com//movies/?id=ladyinthevan.htm,10021175,602,N/A,N/A,2/26,6/9,N/A,SPC,Drama,1 hrs. 44 min.,PG-13,,,,,Maggie Smith | ,/people/chart/?view=Actor&id=maggiesmith.htm | ,,,,,,
135,Popstar: Never Stop Never Stopping,http://www.boxofficemojo.com//movies/?id=topsecretuntitledlonelyislandmovie.htm,9639125,2313,4698715,2311,6/3,7/28,N/A,Uni.,Comedy,1 hrs. 26 min.,R,Akiva Schaffer | Jorma Taccone | ,/people/chart/?view=Director&id=akivaschaffer.htm | /people/chart/?view=Director&id=jormataccone.htm | ,,,Andy Samberg | Akiva Schaffer | Jorma Taccone | ,/people/chart/?view=Actor&id=andysamberg.htm | /people/chart/?view=Actor&id=akivaschaffer.htm | /people/chart/?view=Actor&id=jormataccone.htm | ,Judd Apatow | Rodney Rothman | Andy Samberg | Akiva Schaffer | Jorma Taccone | ,/people/chart/?view=Producer&id=juddapatow.htm | /people/chart/?view=Producer&id=rodneyrothman.htm | /people/chart/?view=Producer&id=andysamberg.htm | /people/chart/?view=Producer&id=akivaschaffer.htm | /people/chart/?view=Producer&id=jormataccone.htm | ,,,,
137,Meet the Blacks,http://www.boxofficemojo.com//movies/?id=meettheblacks.htm,9097072,1015,4055940,1015,4/1,6/21,N/A,Free,Comedy,1 hrs. 33 min.,R,,,,,,,,,,,,
139,Ratchet & Clank,http://www.boxofficemojo.com//movies/?id=ratchetandclank.htm,8821329,2895,4869278,2891,4/29,6/2,N/A,Focus,Animation,1 hrs. 34 min.,PG,,,,,Rosario Dawson | Paul Giamatti | John Goodman | Sylvester Stallone | Bella Thorne | ,/people/chart/?view=Actor&id=rosariodawson.htm | /people/chart/?view=Actor&id=paulgiamatti.htm | /people/chart/?view=Actor&id=johngoodman.htm | /people/chart/?view=Actor&id=sylvesterstallone.htm | /people/chart/?view=Actor&id=bellathorne.htm | ,,,,,,
141,Shut In,http://www.boxofficemojo.com//movies/?id=shutin.htm,6900335,2058,3613567,2058,11/11,1/2,N/A,EC,Thriller,1 hrs. 31 min.,PG-13,,,,,Naomi Watts | ,/people/chart/?view=Actor&id=naomiwatts.htm | ,,,,,,
143,The Young Messiah,http://www.boxofficemojo.com//movies/?id=christthelord.htm,6490401,1769,3294876,1761,3/11,4/21,N/A,Focus,Historical Drama,1 hrs. 51 min.,PG-13,,,,,,,,,,,,
145,Bleed for This,http://www.boxofficemojo.com//movies/?id=bleedforthis.htm,5083906,1549,2366810,1549,11/18,12/15,$6 million,ORF,Sports Drama,1 hrs. 56 min.,R,,,,,Aaron Eckhart | Miles Teller | ,/people/chart/?view=Actor&id=aaroneckhart.htm | /people/chart/?view=Actor&id=milesteller.htm | ,,,,,,
147,Hands of Stone,http://www.boxofficemojo.com//movies/?id=handsofstone.htm,4712792,2011,1751388,810,8/26,10/13,N/A,Wein.,Drama,1 hrs. 45 min.,R,,,,,Robert DeNiro | Edgar Ramirez | ,/people/chart/?view=Actor&id=robertdeniro.htm | /people/chart/?view=Actor&id=edgarramirez.htm | ,,,,,,
149,Denial,http://www.boxofficemojo.com//movies/?id=denial.htm,4073489,648,93728,5,10/21,12/19,N/A,BST,Drama,1 hrs. 50 min.,PG-13,,,,,Rachel Weisz | Tom Wilkinson | ,/people/chart/?view=Actor&id=rachelweisz.htm | /people/chart/?view=Actor&id=tomwilkinson.htm | ,,,,,,
151,Max Steel,http://www.boxofficemojo.com//movies/?id=maxsteel.htm,3818664,2034,2182216,2034,10/14,11/3,N/A,ORF,Action,1 hrs. 32 min.,PG-13,,,,,,,,,,,,
153,Rules Don't Apply,http://www.boxofficemojo.com//movies/?id=rulesdontapply.htm,3652206,2386,1589625,2382,11/23,12/22,$25 million,Fox,Comedy / Drama,2 hrs. 6 min.,PG-13,Warren Beatty | ,/people/chart/?view=Director&id=warrenbeatty.htm | ,Warren Beatty | ,/people/chart/?view=Writer&id=warrenbeatty.htm | ,Lily Collins | Warren Beatty | Matthew Broderick | Alec Baldwin | Ed Harris | Annette Bening | Steve Coogan | ,/people/chart/?view=Actor&id=lilycollins.htm | /people/chart/?view=Actor&id=warrenbeatty.htm | /people/chart/?view=Actor&id=matthewbroderick.htm | /people/chart/?view=Actor&id=alecbaldwin.htm | /people/chart/?view=Actor&id=edharris.htm | /people/chart/?view=Actor&id=annettebening.htm | /people/chart/?view=Actor&id=stevecoogan.htm | ,,,,,,
155,Green Room,http://www.boxofficemojo.com//movies/?id=greenroom.htm,3220371,777,87984,3,5/13,7/14,N/A,A24,Thriller,1 hrs. 34 min.,R,Jeremy Saulnier | ,/people/chart/?view=Director&id=jeremysaulnier.htm | ,Jeremy Saulnier | ,/people/chart/?view=Writer&id=jeremysaulnier.htm | ,Macon Blair | Imogen Poots | Patrick Stewart | Anton Yelchin | ,/people/chart/?view=Actor&id=maconblair.htm | /people/chart/?view=Actor&id=imogenpoots.htm | /people/chart/?view=Actor&id=patrickstewart.htm | /people/chart/?view=Actor&id=antonyelchin.htm | ,,,,,,
157,Hillsong - Let Hope Rise,http://www.boxofficemojo.com//movies/?id=hillsong.htm,2394386,816,1357243,816,9/16,10/23,N/A,PFR,Documentary,1 hrs. 43 min.,PG,,,,,,,,,,,,
159,Billy Lynn's Long Halftime Walk,http://www.boxofficemojo.com//movies/?id=billylynn.htm,1738477,1176,114129,2,11/18,12/15,N/A,TriS,War,1 hrs. 50 min.,R,Ang Lee | ,/people/chart/?view=Director&id=anglee.htm | ,,,Vin Diesel | Garrett Hedlund | Steve Martin | Kristen Stewart | Chris Tucker | ,/people/chart/?view=Actor&id=vindiesel.htm | /people/chart/?view=Actor&id=garretthedlund.htm | /people/chart/?view=Actor&id=stevemartin.htm | /people/chart/?view=Actor&id=kristenstewart.htm | /people/chart/?view=Actor&id=christucker.htm | ,,,,,,
161,Jane Got a Gun,http://www.boxofficemojo.com//movies/?id=janegotagun.htm,1513793,1210,835572,1210,1/29,2/25,N/A,Wein.,Western,1 hrs. 38 min.,R,Gavin O'Connor | ,/people/chart/?view=Director&id=gavinoconnor.htm | ,Brian Duffield | ,/people/chart/?view=Writer&id=brianduffield.htm | ,Natalie Portman | Rodrigo Santoro | Ewan McGregor | ,/people/chart/?view=Actor&id=natalieportman.htm | /people/chart/?view=Actor&id=rodrigosantoro.htm | /people/chart/?view=Actor&id=ewanmcgregor.htm | ,Natalie Portman | ,/people/chart/?view=Producer&id=natalieportman.htm | ,Mandy Walker | ,/people/chart/?view=Cinematographer&id=mandywalker.htm | ,,
163,Believe (2016),http://www.boxofficemojo.com//movies/?id=believe2016.htm,890303,638,477387,638,12/2,1/5,N/A,Free,Family,1 hrs. 59 min.,PG,,,,,,,,,,,,
165,The Bounce Back,http://www.boxofficemojo.com//movies/?id=thebounceback.htm,321910,615,227354,615,12/9,12/22,N/A,VPD,Romantic Comedy,1 hrs. 44 min.,PG-13,,,,,,,,,,,,
102,Free State of Jones,http://www.boxofficemojo.com//movies/?id=freestateofjones.htm,20810036,2815,7572206,2815,6/24,7/28,$50 million,STX,Action Drama,2 hrs. 19 min.,R,Gary Ross | ,/people/chart/?view=Director&id=garyross.htm | ,Gary Ross | ,/people/chart/?view=Writer&id=garyross.htm | ,Matthew McConaughey | ,/people/chart/?view=Actor&id=matthewmcconaughey.htm | ,,,,,,
104,God's Not Dead 2,http://www.boxofficemojo.com//movies/?id=godsnotdead2.htm,20774575,2419,7623662,2419,4/1,7/21,N/A,PFR,Drama,2 hrs. 1 min.,PG,,,,,,,,,,,,
106,Middle School: The Worst Years of My Life,http://www.boxofficemojo.com//movies/?id=middleschool.htm,20007149,2822,6878437,2822,10/7,12/1,$8.5 million,LGF,Comedy,1 hrs. 29 min.,PG,Steve Carr | ,/people/chart/?view=Director&id=stevecarr.htm | ,,,,,,,Julio Macat | ,/people/chart/?view=Cinematographer&id=juliomacat.htm | ,,
108,Race (2016),http://www.boxofficemojo.com//movies/?id=race2016.htm,19206207,2387,7353922,2369,2/19,4/21,N/A,Focus,Drama,2 hrs. 14 min.,PG-13,Stephen Hopkins | ,/people/chart/?view=Director&id=stephenhopkins.htm | ,,,Jeremy Irons | Jason Sudeikis | William Hurt | ,/people/chart/?view=Actor&id=jeremyirons.htm | /people/chart/?view=Actor&id=jasonsudeikis.htm | /people/chart/?view=Actor&id=williamhurt.htm | ,,,,,,
110,Eye in the Sky,http://www.boxofficemojo.com//movies/?id=eyeinthesky.htm,18704595,1089,113803,5,4/1,7/21,N/A,BST,Drama / Thriller,1 hrs. 42 min.,R,,,,,Helen Mirren | Alan Rickman | ,/people/chart/?view=Actor&id=helenmirren.htm | /people/chart/?view=Actor&id=alanrickman.htm | ,,,,,,
112,Masterminds (2016),http://www.boxofficemojo.com//movies/?id=armored15.htm,17368022,3042,6541205,3042,9/30,11/10,N/A,Rela.,Comedy,1 hrs. 34 min.,PG-13,,,,,Zach Galifianakis | Owen Wilson | Kristen Wiig | ,/people/chart/?view=Actor&id=zachgalifianakis.htm | /people/chart/?view=Actor&id=owenwilson.htm | /people/chart/?view=Actor&id=kristenwiig.htm | ,Ryan Kavanaugh | Danny McBride | Lorne Michaels | Tucker Tooley | ,/people/chart/?view=Producer&id=ryankavanaugh.htm | /people/chart/?view=Producer&id=dannymcbride.htm | /people/chart/?view=Producer&id=lornemichaels.htm | /people/chart/?view=Producer&id=tuckertooley.htm | ,,,,
114,The Birth of a Nation,http://www.boxofficemojo.com//movies/?id=thebirthofanation.htm,15861566,2105,7004254,2105,10/7,12/8,$8.5 million,FoxS,Drama,1 hrs. 50 min.,R,,,,,Jackie Earle Haley | Armie Hammer | ,/people/chart/?view=Actor&id=jackieearlehaley.htm | /people/chart/?view=Actor&id=armiehammer.htm | ,,,Elliot Davis | ,/people/chart/?view=Cinematographer&id=elliotdavis.htm | ,Henry Jackman | ,/people/chart/?view=Composer&id=henryjackman.htm | 
116,The Infiltrator,http://www.boxofficemojo.com//movies/?id=theinfiltrator.htm,15436808,1601,5303775,1601,7/13,10/6,N/A,BG,Drama / Thriller,2 hrs. 7 min.,R,Brad Furman | ,/people/chart/?view=Director&id=bradfurman.htm | ,,,Bryan Cranston | John Leguizamo | Amy Ryan | ,/people/chart/?view=Actor&id=bryancranston.htm | /people/chart/?view=Actor&id=johnleguizamo.htm | /people/chart/?view=Actor&id=amyryan.htm | ,,,,,,
118,Criminal (2016),http://www.boxofficemojo.com//movies/?id=criminal2015.htm,14708696,2683,5767278,2683,4/15,5/26,N/A,LG/S,Action,1 hrs. 53 min.,R,,,,,Kevin Costner | Ryan Reynolds | Gary Oldman | Tommy Lee Jones | Gal Gadot | Alice Eve | ,/people/chart/?view=Actor&id=kevincostner.htm | /people/chart/?view=Actor&id=ryanreynolds.htm | /people/chart/?view=Actor&id=garyoldman.htm | /people/chart/?view=Actor&id=tommyleejones.htm | /people/chart/?view=Actor&id=galgadot.htm | /people/chart/?view=Actor&id=aliceeve.htm | ,,,,,Brian Tyler | ,/people/chart/?view=Composer&id=briantyler.htm | 
120,"Hello, My Name is Doris","http://www.boxofficemojo.com//movies/?id=hello,mynameisdoris.htm",14444999,979,84986,4,4/1,7/28,N/A,RAtt.,Comedy,1 hrs. 35 min.,R,,,,,Sally Field | ,/people/chart/?view=Actor&id=sallyfield.htm | ,,,,,,
122,Love & Friendship,http://www.boxofficemojo.com//movies/?id=lovefriendship.htm,14016568,826,133513,4,6/3,9/22,N/A,RAtt.,Comedy,1 hrs. 32 min.,PG,Whit Stillman | ,/people/chart/?view=Director&id=whitstillman.htm | ,Whit Stillman | ,/people/chart/?view=Writer&id=whitstillman.htm | ,Kate Beckinsale | Chloe Sevigny | ,/people/chart/?view=Actor&id=katebeckinsale.htm | /people/chart/?view=Actor&id=chloesevigny.htm | ,,,,,,
124,Carol,http://www.boxofficemojo.com//movies/?id=carol.htm,12711491,790,253510,4,1/15,3/31,N/A,Wein.,Drama,1 hrs. 58 min.,R,,,,,Cate Blanchett | Rooney Mara | Sarah Paulson | ,/people/chart/?view=Actor&id=cateblanchett.htm | /people/chart/?view=Actor&id=rooneymara.htm | /people/chart/?view=Actor&id=sarahpaulson.htm | ,,,,,Carter Burwell | ,/people/chart/?view=Composer&id=carterburwell.htm | 
126,The Light Between Oceans,http://www.boxofficemojo.com//movies/?id=lightbetweenoceans.htm,12545979,1500,4765838,1500,9/2,11/3,$20 million,BV,Drama,2 hrs. 12 min.,PG-13,Derek Cianfrance | ,/people/chart/?view=Director&id=derekcianfrance.htm | ,,,Michael Fassbender | Alicia Vikander | Rachel Weisz | ,/people/chart/?view=Actor&id=michaelfassbender.htm | /people/chart/?view=Actor&id=aliciavikander.htm | /people/chart/?view=Actor&id=rachelweisz.htm | ,,,,,,
128,The Danish Girl,http://www.boxofficemojo.com//movies/?id=danishgirl.htm,11114018,794,187318,4,1/22,3/17,N/A,Focus,Drama,2 hrs. 0 min.,R,Tom Hooper | ,/people/chart/?view=Director&id=tomhooper.htm | ,,,Eddie Redmayne | Alicia Vikander | Matthias Schoenaerts | Ben Whishaw | Amber Heard | ,/people/chart/?view=Actor&id=eddieredmayne.htm | /people/chart/?view=Actor&id=aliciavikander.htm | /people/chart/?view=Actor&id=matthiasschoenaerts.htm | /people/chart/?view=Actor&id=benwhishaw.htm | /people/chart/?view=Actor&id=amberheard.htm | ,,,,,Alexandre Desplat | ,/people/chart/?view=Composer&id=alexandredesplat.htm | 
130,Pride and Prejudice and Zombies,http://www.boxofficemojo.com//movies/?id=prideprejudicezombies.htm,10938134,2931,5324240,2931,2/5,3/3,$28 million,SGem,Comedy,1 hrs. 48 min.,PG-13,Burr Steers | ,/people/chart/?view=Director&id=burrsteers.htm | ,Burr Steers | ,/people/chart/?view=Writer&id=burrsteers.htm | ,Lena Headey | ,/people/chart/?view=Actor&id=lenaheadey.htm | ,Natalie Portman | ,/people/chart/?view=Producer&id=natalieportman.htm | ,,,,
132,Nocturnal Animals,http://www.boxofficemojo.com//movies/?id=nocturnalanimals.htm,10663357,1262,492648,37,12/9,1/26,N/A,Focus,Drama / Thriller,1 hrs. 55 min.,R,Tom Ford | ,/people/chart/?view=Director&id=tomford.htm | ,Tom Ford | ,/people/chart/?view=Writer&id=tomford.htm | ,Amy Adams | Jake Gyllenhaal | Aaron Johnson | Isla Fisher | Armie Hammer | Laura Linney | ,/people/chart/?view=Actor&id=amyadams.htm | /people/chart/?view=Actor&id=jakegyllenhaal.htm | /people/chart/?view=Actor&id=aaronjohnson.htm | /people/chart/?view=Actor&id=islafisher.htm | /people/chart/?view=Actor&id=armiehammer.htm | /people/chart/?view=Actor&id=lauralinney.htm | ,,,,,,
134,The Perfect Match,http://www.boxofficemojo.com//movies/?id=theperfectmatch.htm,9669521,925,4294232,925,3/11,4/28,N/A,LGF,Romantic Comedy,1 hrs. 36 min.,R,Bille Woodruff | ,/people/chart/?view=Director&id=billewoodruff.htm | ,,,Paula Patton | ,/people/chart/?view=Actor&id=paulapatton.htm | ,,,,,,
136,Hardcore Henry,http://www.boxofficemojo.com//movies/?id=hardcorehenry.htm,9252038,3015,5107604,3015,4/8,5/12,N/A,STX,Action Thriller,1 hrs. 35 min.,R,,,,,Sharlto Copley | ,/people/chart/?view=Actor&id=sharltocopley.htm | ,Timur Bekmambetov | ,/people/chart/?view=Producer&id=timurbekmambetov.htm | ,,,,
138,Queen of Katwe,http://www.boxofficemojo.com//movies/?id=queenofkatwe.htm,8874389,1259,304933,52,9/30,1/5,$15 million,BV,Sports Drama,2 hrs. 4 min.,PG,Mira Nair | ,/people/chart/?view=Director&id=miranair.htm | ,,,Lupita Nyong'o | David Oyelowo | ,/people/chart/?view=Actor&id=lupitanyongo.htm | /people/chart/?view=Actor&id=davidoyelowo.htm | ,,,,,,
140,The Wild Life (2016),http://www.boxofficemojo.com//movies/?id=thewildlife2016.htm,8005586,2493,3342696,2493,9/9,10/13,N/A,LG/S,Animation,1 hrs. 30 min.,PG,,,,,,,,,,,,
142,The Brothers Grimsby,http://www.boxofficemojo.com//movies/?id=grimsby.htm,6874837,2235,3258327,2235,3/11,4/14,N/A,Sony,Comedy,1 hrs. 23 min.,R,Louis Leterrier | ,/people/chart/?view=Director&id=louisleterrier.htm | ,,,Sacha Baron Cohen | Penelope Cruz | Mark Strong | Rebel Wilson | Gabourey Sidibe | Isla Fisher | ,/people/chart/?view=Actor&id=sachabaroncohen.htm | /people/chart/?view=Actor&id=penelopecruz.htm | /people/chart/?view=Actor&id=markstrong.htm | /people/chart/?view=Actor&id=rebelwilson.htm | /people/chart/?view=Actor&id=gaboureysidibe.htm | /people/chart/?view=Actor&id=islafisher.htm | ,,,,,,
144,Southside with You,http://www.boxofficemojo.com//movies/?id=southsidewithyou.htm,6304223,897,2868403,813,8/26,11/3,N/A,RAtt.,Drama,1 hrs. 21 min.,PG-13,,,,,,,,,,,,
146,Incarnate,http://www.boxofficemojo.com//movies/?id=untitledbhtilthorror2.htm,4799774,1737,2534884,1737,12/2,12/29,$5 million,BH Tilt,Horror,1 hrs. 31 min.,PG-13,Brad Peyton | ,/people/chart/?view=Director&id=bradpeyton.htm | ,,,Aaron Eckhart | ,/people/chart/?view=Actor&id=aaroneckhart.htm | ,,,,,,
148,Swiss Army Man,http://www.boxofficemojo.com//movies/?id=swissarmyman.htm,4210454,636,105453,3,7/1,9/29,N/A,A24,Comedy,1 hrs. 35 min.,R,,,,,Paul Dano | Daniel Radcliffe | Mary Elizabeth Winstead | ,/people/chart/?view=Actor&id=pauldano.htm | /people/chart/?view=Actor&id=danielradcliffe.htm | /people/chart/?view=Actor&id=maryelizabethwinstead.htm | ,,,,,,
150,Morgan,http://www.boxofficemojo.com//movies/?id=morgan.htm,3915251,2020,2012709,2020,9/2,10/6,$8 million,Fox,Sci-Fi Thriller,1 hrs. 32 min.,R,,,,,Kate Mara | Paul Giamatti | Michelle Yeoh | ,/people/chart/?view=Actor&id=katemara.htm | /people/chart/?view=Actor&id=paulgiamatti.htm | /people/chart/?view=Actor&id=michelleyeoh.htm | ,Ridley Scott | ,/people/chart/?view=Producer&id=ridleyscott.htm | ,,,,
152,Batman: The Killing Joke,http://www.boxofficemojo.com//movies/?id=batmankillingjoke.htm,3775000,1325,N/A,N/A,7/25,7/26,N/A,Fathom,Animation,1 hrs. 16 min.,R,,,,,Mark Hamill | ,/people/chart/?view=Actor&id=markhamill.htm | ,,,,,,
154,Miss Sloane,http://www.boxofficemojo.com//movies/?id=misssloane.htm,3500605,1648,59797,3,12/9,1/2,N/A,EC,Drama / Thriller,2 hrs. 12 min.,R,John Madden | ,/people/chart/?view=Director&id=johnmadden.htm | ,,,Jessica Chastain | Mark Strong | ,/people/chart/?view=Actor&id=jessicachastain.htm | /people/chart/?view=Actor&id=markstrong.htm | ,,,,,,
156,The Disappointments Room,http://www.boxofficemojo.com//movies/?id=disappointmentsroom.htm,2423468,1554,1402823,1554,9/9,10/27,$15 million,Rela.,Horror,1 hrs. 32 min.,R,D.J. Caruso | ,/people/chart/?view=Director&id=djcaruso.htm | ,,,Kate Beckinsale | ,/people/chart/?view=Actor&id=katebeckinsale.htm | ,Ryan Kavanaugh | Tucker Tooley | ,/people/chart/?view=Producer&id=ryankavanaugh.htm | /people/chart/?view=Producer&id=tuckertooley.htm | ,,,Brian Tyler | ,/people/chart/?view=Composer&id=briantyler.htm | 
158,Demolition,http://www.boxofficemojo.com//movies/?id=demolition.htm,1978592,862,1100042,854,4/8,4/21,N/A,FoxS,Drama,1 hrs. 41 min.,R,Jean-Marc Vallee | ,/people/chart/?view=Director&id=jeanmarcvallee.htm | ,,,Chris Cooper | Jake Gyllenhaal | Naomi Watts | ,/people/chart/?view=Actor&id=chriscooper.htm | /people/chart/?view=Actor&id=jakegyllenhaal.htm | /people/chart/?view=Actor&id=naomiwatts.htm | ,,,,,,
160,I Saw the Light,http://www.boxofficemojo.com//movies/?id=isawthelight.htm,1646788,741,45471,5,4/1,6/9,N/A,SPC,Drama,2 hrs. 3 min.,R,Marc Abraham | ,/people/chart/?view=Director&id=marcabraham.htm | ,Marc Abraham | ,/people/chart/?view=Writer&id=marcabraham.htm | ,Tom Hiddleston | Elizabeth Olsen | ,/people/chart/?view=Actor&id=tomhiddleston.htm | /people/chart/?view=Actor&id=elizabetholsen.htm | ,Brett Ratner | ,/people/chart/?view=Producer&id=brettratner.htm | ,,,,
162,The Neon Demon,http://www.boxofficemojo.com//movies/?id=theneondemon.htm,1333124,783,589014,783,6/24,8/4,N/A,BG,Horror Thriller,1 hrs. 57 min.,R,Nicolas Winding Refn | ,/people/chart/?view=Director&id=nicholaswindingrefn.htm | ,,,Elle Fanning | Jena Malone | Keanu Reeves | ,/people/chart/?view=Actor&id=ellefanning.htm | /people/chart/?view=Actor&id=jenamalone.htm | /people/chart/?view=Actor&id=keanureeves.htm | ,,,Natasha Braier | ,/people/chart/?view=Cinematographer&id=natashabraier.htm | ,,
164,The Bronze,http://www.boxofficemojo.com//movies/?id=bronze.htm,615816,1167,386328,1167,3/18,4/21,N/A,SPC,Comedy,1 hrs. 48 min.,R,,,,,Sebastian Stan | ,/people/chart/?view=Actor&id=sebastianstan.htm | ,,,,,,
