rank,name,ID
1,Rogue One: A Star Wars Story,/g/11b7ck8r7s
2,Finding Dory,/m/0sghvky
3,Captain America: Civil War,/m/0125zrjx
4,The Secret Life of Pets,/m/0115c2x3
5,The Jungle Book (2016),/m/0110nff9
6,Deadpool,/m/062zn4b
7,Zootopia,/m/0128rxy6
8,Batman v Superman: Dawn of Justice,/m/0wrshm2
9,Suicide Squad,/m/012dwdjr
10,Sing,/g/11b8cfr_ds
11,Moana,/g/11b6pr8_4f
12,Fantastic Beasts and Where To Find Them,/m/0x2b7t5
13,Doctor Strange,/m/010qw4zb
14,The Revenant,/m/010b8p1w
15,Jason Bourne,/g/11b6sn2_vh
16,Star Trek Beyond,/m/010kk6fr
17,X-Men: Apocalypse,/m/0_4654w
18,Trolls,/m/0p8xf5w
19,La La Land,/g/11bydp_jrs
20,Kung Fu Panda 3,/m/0c03gcc
21,Ghostbusters (2016),/m/025tlkg
22,Central Intelligence,/g/11b726t1bj
23,The Legend of Tarzan,/m/0w17g_l
24,Sully,/g/11bw6qksy0
25,Bad Moms,/g/11bxtmf295
26,The Angry Birds Movie,/m/0110gltf
27,Independence Day: Resurgence,/m/0134v4hd
28,The Conjuring 2,/g/1pwf7_9rd
29,Arrival,/m/013d5zl6
30,Passengers (2016),/m/0y5297q
31,Sausage Party,/m/0zwqnxs
32,The Magnificent Seven (2016),/g/11b7k3tft3
33,Ride Along 2,/m/0114jq6n
34,Don't Breathe,/g/11btqnjr6n
35,Miss Peregrine's Home for Peculiar Children,/g/12lr2z_p0
36,The Accountant,/m/012nlb0j
37,Teenage Mutant Ninja Turtles: Out of the Shadows,/g/11b67yc985
38,The Purge: Election Year,/g/11b6wqp7vs
39,Alice Through the Looking Glass,/m/0y4m_xb
40,Pete's Dragon (2016),/m/012n9rw5
41,The Girl on the Train (2016),/g/11bwn3z58n
43,Storks,/g/11bwnd3yzf
44,10 Cloverfield Lane,/m/0hxxbp3
45,Lights Out,/g/11btymdphw
46,Hacksaw Ridge,/g/11c3rp7v6c
47,The Divergent Series: Allegiant,/g/11b7v4vnqj
48,Now You See Me 2,/m/011djb5_
49,Ice Age: Collision Course,/g/11b7ltkhwf
50,The Boss,/m/01312b52
51,London Has Fallen,/m/010vzxsl
52,Miracles from Heaven,/g/11bc95kg2q
53,Deepwater Horizon,/g/11b6b4yz64
55,My Big Fat Greek Wedding 2,/m/0139_bjm
56,Jack Reacher: Never Go Back,/g/11b6s_zq9p
58,Me Before You,/g/11bwdrvq0t
59,The BFG,/m/0130x37n
60,Neighbors 2: Sorority Rising,/g/11c3mqbys6
61,The Shallows,/g/11bv7yy9c_
63,Assassin's Creed,/m/0v_724j
64,Barbershop: The Next Cut,/m/01370796
65,13 Hours: The Secret Soldiers of Benghazi,/m/0134tnny
66,The Huntsman: Winter's War,/m/0n4n1y_
67,Kubo and the Two Strings,/m/012nggw2
68,Manchester by the Sea,/m/01311xrt
69,Warcraft,/m/0wkd2g3
70,How to Be Single,/m/0134tnd3
71,Mike and Dave Need Wedding Dates,/g/11b6v7j7y9
72,War Dogs,/g/11b73tckd8
73,Almost Christmas,/g/11bwncytx6
74,Money Monster,/g/11b6dbfgl9
76,Nerve,/m/0134twz5
77,Risen,/m/0q59sqk
78,The Nice Guys,/m/01262msv
79,The Boy (2016),/m/012zz961
80,Dirty Grandpa,/m/012gbh3x
81,Ouija: Origin of Evil,/g/11b7r62z78
82,The 5th Wave,/m/0120xy4n
83,Inferno,/m/0134tnr7
84,Mother's Day,/g/11bw1h1tpf
85,Gods of Egypt,/m/0w0l3pk
87,"Hail, Caesar!",/m/0b_rqq
88,When the Bough Breaks,/m/012w4c6m
89,Zoolander 2,/m/0n1091p
90,Moonlight (2016),/g/11byvnvr5n
91,The Finest Hours,/m/011sr4g7
92,Florence Foster Jenkins,/g/11bxwq22r7
93,Hell or High Water,/m/013b39y0
94,The Forest,/m/012vxtd6
95,Ben-Hur (2016),/m/012n8g9g
96,The Witch,/g/11b6_84bg3
97,Bridget Jones's Baby,/g/11bvg2c8y5
98,Kevin Hart: What Now?,/g/11bw3gvhcp
99,Whiskey Tango Foxtrot,/m/012tw04f
100,Snowden,/m/012vtv_y
101,Mechanic: Resurrection,/m/0128wgcr
102,Free State of Jones,/m/012wh_q6
104,God's Not Dead 2,/g/11b7hl4kd9
105,Keanu,/m/013bl5zr
106,Middle School: The Worst Years of My Life,/g/11bwpzpcl4
107,Nine Lives (2016),/m/0139v3ty
108,Race (2016),/m/011f270n
109,The Choice,/m/0123kmw8
110,Eye in the Sky,/m/010h36_n
111,Bad Santa 2,/m/0kvhzqd
112,Masterminds (2016),/m/0v_c362
113,Norm of the North,/m/0gy2yyb
114,The Birth of a Nation,/g/11bcdl5pv2
115,Eddie the Eagle,/m/0gy21hq
116,The Infiltrator,/m/012zwd4y
117,Keeping Up with the Joneses,/g/11byb3r3l1
118,Criminal (2016),/m/0120x8kk
119,Room,/m/010rjwt2
120,"Hello, My Name is Doris",/m/011jpln_
121,The Edge of Seventeen,/m/0dlq2w
122,Love & Friendship,/m/012vqmjc
124,Carol,/m/0_yn8p1
125,Triple 9,/m/0_l41lm
126,The Light Between Oceans,/m/012847wq
127,Fifty Shades of Black,/g/11bw39tt4t
128,The Danish Girl,/m/09gcrsw
129,Cafe Society,/g/11bw1gxjy2
130,Pride and Prejudice and Zombies,/m/0dk12pb
131,The Darkness,/m/011jhj8r
132,Nocturnal Animals,/g/11bw4xsqgn
133,The Lady in the Van,/m/012mchyz
135,Popstar: Never Stop Never Stopping,/m/0138mzb9
136,Hardcore Henry,/g/11b8_2nvnq
139,Ratchet & Clank,/m/0tkfdvb
141,Shut In,/m/0136zq6v
142,The Brothers Grimsby,/m/0_r_hrm
143,The Young Messiah,/m/0hz0123
145,Bleed for This,/m/0nh4pw1
146,Incarnate,/m/0_s43rl
147,Hands of Stone,/m/0h273t4
148,Swiss Army Man,/g/11bwh931lh
149,Denial,/g/11bwq980v7
150,Morgan,/g/11btt6x2n7
151,Max Steel,/m/09vthq4
152,Batman: The Killing Joke,/m/04ylb8d
153,Rules Don't Apply,/m/0_v9g9k
154,Miss Sloane,/g/11clhpwx0k
155,Green Room,/m/0126955n
156,The Disappointments Room,/m/0123lql3
158,Demolition,/m/011v5mbr
159,Billy Lynn's Long Halftime Walk,/m/0133dmyj
160,I Saw the Light,/m/0120_5rg
161,Jane Got a Gun,/m/0nfnhrv
162,The Neon Demon,/m/0131bh19
164,The Bronze,/m/0115rgmz
165,The Bounce Back,/g/11bw61q223